Year,Country,Name,Goals,Best_Player
1930,Uruguay,Castro,3,José Nasazzi
1934,Italy,Schiavio,4,Giuseppe Meazza
1938,Italy,Piola,2,Leônidas da Silva
1950,Uruguay,Schiaffino,2,Obdulio Varela
1954,Germany,Rahn,4,Ferenc Puskás
1958,Brazil,Pelé,6,Didi
1962,Brazil,Garrincha,4,Garrincha
1962,Brazil,Vavá,4,Garrincha
1966,England,Hurst,4,Bobby Charlton
1970,Brazil,Jairzinho,7,Pelé
1974,Germany,Müller,4,Johan Cruyff
1978,Argentina,Kempes,6,Mario Kempes
1982,Italy,Rossi,6,Paolo Rossi
1986,Argentina,Maradona,5,Diego Maradona
1990,Germany,Matthäus,4,Salvatore Schillaci
1994,Brazil,Romário,5,Romário
1998,France,Henry,3,Ronaldo
2002,Brazil,Ronaldo,8,Oliver Kahn
2006,Italy,Toni,2,Zinedine Zidane
2010,Spain,Villa,5,Diego Forlán
2014,Germany,Müller,5,Lionel Messi
2018,France,Griezmann,4,Luka Modrić
2022,Argentina,Messi,7,Lionel Messi
